Year,Residential (Unit : Terajoule),Residential Percentage (%),Commercial (Unit : Terajoule),Commercial Percentage (%),Industrial (Unit : Terajoule),Industrial Percentage (%),Transport (Unit : Terajoule),Transport Percentage (%)
2013,39941,26,102221,67,8405,5,2796,2
2014,43415,27,103471,65,8374,5,2888,2
2015,42368,27,104647,66,8359,5,3006,2
2016,43120,27,104839,66,7872,5,3011,2
2017,42127,27,104669,66,7963,5,3218,2
2018,41965,26,106291,67,7938,5,3300,2
2019,42937,27,107988,67,7501,5,3244,2
2020,46675,29,102167,64,7383,5,2876,2
2021,47464,29,107240,65,7222,4,3002,2
2022,45427,28,105806,66,7131,4,3132,2
2023,44327,27,108524,66,7275,4,3772,2
