Year 年,Period 時期,Breakdown by Districts and Customer Type (Period / Year) 各地區客戶分類 (時期/年),Residential 住宅用戶,Commercial 商業用戶,Industrial 工業用戶,Consumption Total (GWh) 用電量總計(百萬度)
2025,Second Half 下半年,Central & Western 中西區,304,1338,27,1669
2025,Second Half 下半年,Eastern 東區,532,900,59,1491
2025,Second Half 下半年,Wan Chai 灣仔,251,1063,18,1332
2025,Second Half 下半年,Southern 南區,304,657,45,1006
2025,Second Half 下半年,Islands (Lamma Island only)  離島(只計南丫島),11,4,1,16
,,,,,
2025,First Half 上半年,Central & Western 中西區,239,1111,24,1374
2025,First Half 上半年,Eastern 東區,364,803,49,1216
2025,First Half 上半年,Wan Chai 灣仔,157,828,14,999
2025,First Half 上半年,Southern 南區,217,542,39,798
2025,First Half 上半年,Islands (Lamma Island only)  離島(只計南丫島),8,4,1,13
,,,,,
2024,Second Half 下半年,Central & Western 中西區,329,1357,26,1712
2024,Second Half 下半年,Eastern 東區,576,993,63,1632
2024,Second Half 下半年,Wan Chai 灣仔,230,1019,16,1265
2024,Second Half 下半年,Southern 南區,314,648,50,1012
2024,Second Half 下半年,Islands (Lamma Island only)  離島(只計南丫島),11,4,1,16
,,,,,
2024,First Half 上半年,Central & Western 中西區,231,1152,23,1406
2024,First Half 上半年,Eastern 東區,376,860,52,1288
2024,First Half 上半年,Wan Chai 灣仔,164,845,14,1023
2024,First Half 上半年,Southern 南區,224,549,40,813
2024,First Half 上半年,Islands (Lamma Island only)  離島(只計南丫島),8,4,1,13
,,,,,
2023,Second Half 下半年,Central & Western 中西區,312,1363,26,1701
2023,Second Half 下半年,Eastern 東區,564,1003,63,1630
2023,Second Half 下半年,Wan Chai 灣仔,223,1005,15,1243
2023,Second Half 下半年,Southern 南區,304,632,50,986
2023,Second Half 下半年,Islands (Lamma Island only)  離島(只計南丫島),10,5,1,16
,,,,,
2023,First Half 上半年,Central & Western 中西區,235,1159,24,1418
2023,First Half 上半年,Eastern 東區,372,836,52,1259
2023,First Half 上半年,Wan Chai 灣仔,157,834,13,1005
2023,First Half 上半年,Southern 南區,216,518,42,776
2023,First Half 上半年,Islands (Lamma Island only)  離島(只計南丫島),8,4,1,13
,,,,,
2022,Second Half 下半年,Central & Western 中西區,311,1352,25,1688
2022,Second Half 下半年,Eastern 東區,590,1012,65,1667
2022,Second Half 下半年,Wan Chai 灣仔,223,998,16,1237
2022,Second Half 下半年,Southern 南區,312,625,49,986
2022,Second Half 下半年,Islands (Lamma Island only)  離島(只計南丫島),11,5,1,17
,,,,,
2022,First Half 上半年,Central & Western 中西區,249,1096,23,1368
2022,First Half 上半年,Eastern 東區,390,807,51,1248
2022,First Half 上半年,Wan Chai 灣仔,164,757,13,934
2022,First Half 上半年,Southern 南區,227,488,42,757
2022,First Half 上半年,Islands (Lamma Island only)  離島(只計南丫島),8,4,1,13
,,,,,
2021,Second Half 下半年,Central & Western 中西區,325,1415,25,1765
2021,Second Half 下半年,Eastern 東區,618,1032,67,1716
2021,Second Half 下半年,Wan Chai 灣仔,234,999,15,1248
2021,Second Half 下半年,Southern 南區,328,584,50,962
2021,Second Half 下半年,Islands (Lamma Island only)  離島(只計南丫島),11,5,1,18
,,,,,
